0.1 0.180549 -0.0755547
0.2 0.32679 -0.136169
0.3 0.443611 -0.183473
0.4 0.535283 -0.218959
0.5 0.605531 -0.243991
0.6 0.657597 -0.259813
0.7 0.694303 -0.26756
0.8 0.718098 -0.268266
0.9 0.731104 -0.26287
1 0.735155 -0.252225
1.1 0.731837 -0.237104
1.2 0.722513 -0.218206
1.3 0.708354 -0.196163
1.4 0.690363 -0.171545
1.5 0.669396 -0.144863
1.6 0.646181 -0.116575
1.7 0.621335 -0.0870937
1.8 0.595377 -0.0567837
1.9 0.568742 -0.0259708
2 0.541794 0.00505702
2.1 0.514832 0.0360456
2.2 0.488103 0.0667722
2.3 0.461806 0.0970423
2.4 0.436099 0.126687
2.5 0.411108 0.155562
2.6 0.386929 0.183543
2.7 0.363634 0.210526
2.8 0.341272 0.236424
2.9 0.319877 0.261166
3 0.299466 0.284695
3.1 0.280047 0.306969
3.2 0.261614 0.327953
3.3 0.244155 0.347628
3.4 0.227652 0.365979
3.5 0.212081 0.383002
3.6 0.197414 0.3987
3.7 0.183619 0.413082
3.8 0.170664 0.426161
3.9 0.158512 0.437959
4 0.147129 0.448498
4.1 0.136477 0.457805
4.2 0.126522 0.465911
4.3 0.117225 0.472848
4.4 0.108553 0.478652
4.5 0.100471 0.48336
4.6 0.092944 0.487008
4.7 0.08594 0.489637
4.8 0.0794277 0.491286
4.9 0.0733767 0.491995
5 0.0677582 0.491805
5.1 0.0625445 0.490757
5.2 0.0577094 0.48889
5.3 0.053228 0.486244
5.4 0.0490767 0.48286
5.5 0.0452332 0.478776
5.6 0.0416764 0.47403
5.7 0.0383865 0.46866
5.8 0.0353449 0.462702
5.9 0.0325339 0.456191
6 0.0299371 0.449162
6.1 0.0275392 0.441648
6.2 0.0253257 0.433681
6.3 0.0232832 0.425293
6.4 0.021399 0.416514
6.5 0.0196613 0.407372
6.6 0.0180593 0.397895
6.7 0.0165827 0.388109
6.8 0.015222 0.378039
6.9 0.0139684 0.367709
7 0.0128137 0.357143
7.1 0.0117501 0.346361
7.2 0.0107707 0.335384
7.3 0.00986874 0.324231
7.4 0.00903822 0.312921
7.5 0.00827343 0.301471
7.6 0.00756911 0.289896
7.7 0.00692037 0.278211
7.8 0.00632268 0.266432
7.9 0.00577186 0.254569
8 0.00526399 0.242636
8.1 0.00479548 0.230643
8.2 0.00436296 0.218601
8.3 0.00396332 0.206518
8.4 0.00359366 0.194403
8.5 0.0032513 0.182264
8.6 0.00293372 0.170106
8.7 0.00263857 0.157936
8.8 0.00236369 0.14576
8.9 0.002107 0.13358
9 0.00186661 0.121401
9.1 0.00164068 0.109227
9.2 0.00142751 0.0970579
9.3 0.00122548 0.084897
9.4 0.00103304 0.072745
9.5 0.000848707 0.0606021
9.6 0.000671051 0.0484682
9.7 0.000498691 0.0363426
9.8 0.000330277 0.024224
9.9 0.000164484 0.0121106
