0 1 0
0.2 0.951033 0.195103
0.4 0.902066 0.380413
0.6 0.810127 0.553781
0.8 0.675214 0.702315
1 0.540302 0.823867
1.2 0.352476 0.913145
1.4 0.16465 0.964857
1.6 -0.0266396 0.978832
1.8 -0.221393 0.954028
2 -0.416147 0.890274
2.2 -0.570146 0.791645
2.4 -0.724144 0.662216
2.6 -0.838913 0.503949
2.8 -0.914453 0.328612
3 -0.989992 0.138168
3.2 -0.968578 -0.0576894
3.4 -0.947164 -0.249264
3.6 -0.879894 -0.434262
3.8 -0.766769 -0.598928
4 -0.653644 -0.74097
4.2 -0.476504 -0.853984
4.4 -0.299365 -0.931571
4.6 -0.111904 -0.973215
4.8 0.085879 -0.975817
5 0.283662 -0.938863
5.2 0.453665 -0.86513
5.4 0.623668 -0.757397
5.6 0.75897 -0.617398
5.8 0.85957 -0.455544
6 0.96017 -0.27357
6.2 0.966737 -0.0808792
6.4 0.973304 0.113125
6.6 0.932051 0.306051
6.8 0.842976 0.483554
7 0.753902 0.643242
7.2 0.590995 0.777732
7.4 0.428089 0.87964
7.6 0.248208 0.948119
7.8 0.0513541 0.978075
8 -0.1455 0.96866
8.2 -0.328105 0.9213
8.4 -0.51071 0.837418
8.6 -0.663836 0.71849
8.8 -0.787483 0.573358
